linea,altitud,grupo,repeticion,angulo,nancy,ale
PCA01,BAJA,I,1,9.982,11.378,12.030
PCA01,BAJA,I,2,46.459,22.739,21.000
PCA01,BAJA,I,3,16.843,18.155,19.910
PCA01,BAJA,I,4,22.784,20.905,26.900
PCA01,BAJA,I,5,16.667,42.466,34.900
PCA01,BAJA,I,6,28.777,28.463,25.110
PCA01,BAJA,I,7,50.951,41.600,46.810
PCA01,BAJA,I,8,67.236,73.372,74.300
PCA01,BAJA,I,9,42.266,34.649,29.960
PCA01,BAJA,I,10,25.120,0.000,0.000
PCA01,BAJA,I,11,95.969,91.700,89.650
PCA01,BAJA,I,12,14.500,36.535,28.200
PCA01,BAJA,I,13,0.000,0.000,0.000
PCA01,BAJA,I,14,0.000,0.000,0.000
PCA01,BAJA,I,15,0.000,0.000,0.000
PCA01,BAJA,I,16,0.000,0.000,0.000
PCA01,BAJA,I,17,0.000,0.000,0.000
PCA01,BAJA,I,18,0.000,0.000,0.000
PCA01,BAJA,I,19,0.000,0.000,0.000
PCA01,BAJA,I,20,0.000,0.000,0.000
PCA02,BAJA,I,1,59.554,47.634,50.970
PCA02,BAJA,I,2,2.915,17.084,11.570
PCA02,BAJA,I,3,40.750,6.776,4.150
PCA02,BAJA,I,4,33.750,41.479,36.200
PCA02,BAJA,I,5,5.731,32.819,25.510
PCA02,BAJA,I,6,9.145,22.936,21.240
PCA02,BAJA,I,7,26.607,105.651,113.600
PCA02,BAJA,I,8,36.262,45.174,40.410
PCA02,BAJA,I,9,3.335,24.196,15.110
PCA02,BAJA,I,10,24.288,42.884,32.960
PCA02,BAJA,I,11,73.200,31.849,37.500
PCA02,BAJA,I,12,22.103,21.415,20.300
PCA02,BAJA,I,13,0.000,0.000,0.000
PCA02,BAJA,I,14,0.000,0.000,0.000
PCA02,BAJA,I,15,0.000,0.000,0.000
PCA02,BAJA,I,16,0.000,0.000,0.000
PCA02,BAJA,I,17,0.000,0.000,0.000
PCA02,BAJA,I,18,0.000,0.000,0.000
PCA02,BAJA,I,19,0.000,0.000,0.000
PCA02,BAJA,I,20,0.000,0.000,0.000
PCA03,BAJA,I,1,48.856,42.536,44.620
PCA03,BAJA,I,2,12.910,29.786,24.540
PCA03,BAJA,I,3,15.561,28.205,30.010
PCA03,BAJA,I,4,6.491,18.297,12.590
PCA03,BAJA,I,5,92.808,84.736,87.800
PCA03,BAJA,I,6,11.504,25.940,26.120
PCA03,BAJA,I,7,16.795,29.661,27.540
PCA03,BAJA,I,8,21.587,29.453,26.150
PCA03,BAJA,I,9,12.801,0.000,0.000
PCA03,BAJA,I,10,11.638,0.000,0.000
PCA03,BAJA,I,11,27.385,28.103,26.400
PCA03,BAJA,I,12,28.155,0.000,0.000
PCA03,BAJA,I,13,0.000,0.000,0.000
PCA03,BAJA,I,14,0.000,0.000,0.000
PCA03,BAJA,I,15,0.000,0.000,0.000
PCA03,BAJA,I,16,0.000,0.000,0.000
PCA03,BAJA,I,17,0.000,0.000,0.000
PCA03,BAJA,I,18,0.000,0.000,0.000
PCA03,BAJA,I,19,0.000,0.000,0.000
PCA03,BAJA,I,20,0.000,0.000,0.000
PCA04,BAJA,I,1,67.598,58.128,61.160
PCA04,BAJA,I,2,10.167,18.061,16.100
PCA04,BAJA,I,3,73.271,65.062,74.730
PCA04,BAJA,I,4,155.626,110.359,119.370
PCA04,BAJA,I,5,4.564,41.047,39.800
PCA04,BAJA,I,6,14.559,39.207,44.290
PCA04,BAJA,I,7,73.863,34.938,43.630
PCA04,BAJA,I,8,3.048,42.615,36.700
PCA04,BAJA,I,9,3.316,55.497,50.400
PCA04,BAJA,I,10,16.225,47.398,37.800
PCA04,BAJA,I,11,0.000,0.000,0.000
PCA04,BAJA,I,12,0.000,0.000,0.000
PCA04,BAJA,I,13,0.000,0.000,0.000
PCA04,BAJA,I,14,0.000,0.000,0.000
PCA04,BAJA,I,15,0.000,0.000,0.000
PCA04,BAJA,I,16,0.000,0.000,0.000
PCA04,BAJA,I,17,0.000,0.000,0.000
PCA04,BAJA,I,18,0.000,0.000,0.000
PCA04,BAJA,I,19,0.000,0.000,0.000
PCA04,BAJA,I,20,0.000,0.000,0.000
PCA05,BAJA,I,1,102.427,77.014,85.740
PCA05,BAJA,I,2,116.993,102.369,99.180
PCA05,BAJA,I,3,76.123,66.913,57.310
PCA05,BAJA,I,4,6.084,49.866,48.000
PCA05,BAJA,I,5,79.119,69.176,68.170
PCA05,BAJA,I,6,83.492,62.214,66.110
PCA05,BAJA,I,7,107.456,100.416,109.224
PCA05,BAJA,I,8,133.577,116.851,115.680
PCA05,BAJA,I,9,9.592,25.405,16.700
PCA05,BAJA,I,10,25.696,33.618,36.160
PCA05,BAJA,I,11,0.000,0.000,0.000
PCA05,BAJA,I,12,0.000,0.000,0.000
PCA05,BAJA,I,13,0.000,0.000,0.000
PCA05,BAJA,I,14,0.000,0.000,0.000
PCA05,BAJA,I,15,0.000,0.000,0.000
PCA05,BAJA,I,16,0.000,0.000,0.000
PCA05,BAJA,I,17,0.000,0.000,0.000
PCA05,BAJA,I,18,0.000,0.000,0.000
PCA05,BAJA,I,19,0.000,0.000,0.000
PCA05,BAJA,I,20,0.000,0.000,0.000
PCA06,,I,1,,,
PCA06,,I,2,,,
PCA06,,I,3,,,
PCA06,,I,4,,,
PCA06,,I,5,,,
PCA06,,I,6,,,
PCA06,,I,7,,,
PCA06,,I,8,,,
PCA06,,I,9,,,
PCA06,,I,10,,,
PCA06,,I,11,,,
PCA06,,I,12,,,
PCA06,,I,13,,,
PCA06,,I,14,,,
PCA06,,I,15,,,
PCA06,,I,16,,,
PCA06,,I,17,,,
PCA06,,I,18,,,
PCA06,,I,19,,,
PCA06,,I,20,,,
PCA07,BAJA,I,1,5.790,4.279,10.000
PCA07,BAJA,I,2,5.419,0.000,0.000
PCA07,BAJA,I,3,4.399,9.004,8.700
PCA07,BAJA,I,4,1.246,31.465,26.300
PCA07,BAJA,I,5,14.193,50.741,44.000
PCA07,BAJA,I,6,26.338,27.467,32.300
PCA07,BAJA,I,7,56.870,66.848,64.500
PCA07,BAJA,I,8,2.441,19.461,10.500
PCA07,BAJA,I,9,172.241,152.261,150.360
PCA07,BAJA,I,10,12.889,32.128,39.100
PCA07,BAJA,I,11,0.000,0.000,0.000
PCA07,BAJA,I,12,0.000,0.000,0.000
PCA07,BAJA,I,13,0.000,0.000,0.000
PCA07,BAJA,I,14,0.000,0.000,0.000
PCA07,BAJA,I,15,0.000,0.000,0.000
PCA07,BAJA,I,16,0.000,0.000,0.000
PCA07,BAJA,I,17,0.000,0.000,0.000
PCA07,BAJA,I,18,0.000,0.000,0.000
PCA07,BAJA,I,19,0.000,0.000,0.000
PCA07,BAJA,I,20,0.000,0.000,0.000
PCA08,,I,1,,,
PCA08,,I,2,,,
PCA08,,I,3,,,
PCA08,,I,4,,,
PCA08,,I,5,,,
PCA08,,I,6,,,
PCA08,,I,7,,,
PCA08,,I,8,,,
PCA08,,I,9,,,
PCA08,,I,10,,,
PCA08,,I,11,,,
PCA08,,I,12,,,
PCA08,,I,13,,,
PCA08,,I,14,,,
PCA08,,I,15,,,
PCA08,,I,16,,,
PCA08,,I,17,,,
PCA08,,I,18,,,
PCA08,,I,19,,,
PCA08,,I,20,,,
PCA09,BAJA,I,1,38.590,66.749,64.200
PCA09,BAJA,I,2,5.281,0.000,0.000
PCA09,BAJA,I,3,49.361,79.182,83.000
PCA09,BAJA,I,4,15.271,0.000,10.000
PCA09,BAJA,I,5,4.482,25.623,23.000
PCA09,BAJA,I,6,8.085,38.768,32.000
PCA09,BAJA,I,7,2.445,18.685,24.000
PCA09,BAJA,I,8,2.467,15.437,19.000
PCA09,BAJA,I,9,67.165,73.843,76.460
PCA09,BAJA,I,10,7.347,0.000,0.000
PCA09,BAJA,I,11,0.000,0.000,0.000
PCA09,BAJA,I,12,0.000,0.000,0.000
PCA09,BAJA,I,13,0.000,0.000,0.000
PCA09,BAJA,I,14,0.000,0.000,0.000
PCA09,BAJA,I,15,0.000,0.000,0.000
PCA09,BAJA,I,16,0.000,0.000,0.000
PCA09,BAJA,I,17,0.000,0.000,0.000
PCA09,BAJA,I,18,0.000,0.000,0.000
PCA09,BAJA,I,19,0.000,0.000,0.000
PCA09,BAJA,I,20,0.000,0.000,0.000
PCA10,BAJA,I,1,0.000,9.153,0.000
PCA10,BAJA,I,2,0.000,26.452,20.700
PCA10,BAJA,I,3,8.206,22.763,20.300
PCA10,BAJA,I,4,0.000,0.000,0.000
PCA10,BAJA,I,5,16.802,38.591,40.800
PCA10,BAJA,I,6,41.285,53.825,59.370
PCA10,BAJA,I,7,21.290,115.730,111.500
PCA10,BAJA,I,8,4.153,71.909,69.637
PCA10,BAJA,I,9,0.000,25.330,31.340
PCA10,BAJA,I,10,31.175,25.888,28.140
PCA10,BAJA,I,11,0.000,14.980,17.000
PCA10,BAJA,I,12,0.000,52.490,52.360
PCA10,BAJA,I,13,0.000,0.000,0.000
PCA10,BAJA,I,14,0.000,0.000,0.000
PCA10,BAJA,I,15,0.000,0.000,0.000
PCA10,BAJA,I,16,0.000,0.000,0.000
PCA10,BAJA,I,17,0.000,0.000,0.000
PCA10,BAJA,I,18,0.000,0.000,0.000
PCA10,BAJA,I,19,0.000,0.000,0.000
PCA10,BAJA,I,20,0.000,0.000,0.000
PCA11,BAJA,I,1,40.386,24.381,24.000
PCA11,BAJA,I,2,0.000,25.224,19.300
PCA11,BAJA,I,3,12.224,48.857,43.660
PCA11,BAJA,I,4,48.780,81.212,83.730
PCA11,BAJA,I,5,0.000,26.803,26.600
PCA11,BAJA,I,6,28.577,33.416,29.930
PCA11,BAJA,I,7,2.114,38.484,30.240
PCA11,BAJA,I,8,72.154,85.379,77.970
PCA11,BAJA,I,9,26.277,19.784,28.900
PCA11,BAJA,I,10,14.800,71.213,78.000
PCA11,BAJA,I,11,0.000,87.079,86.200
PCA11,BAJA,I,12,0.000,61.479,58.780
PCA11,BAJA,I,13,0.000,0.000,0.000
PCA11,BAJA,I,14,0.000,0.000,0.000
PCA11,BAJA,I,15,0.000,0.000,0.000
PCA11,BAJA,I,16,0.000,0.000,0.000
PCA11,BAJA,I,17,0.000,0.000,0.000
PCA11,BAJA,I,18,0.000,0.000,0.000
PCA11,BAJA,I,19,0.000,0.000,0.000
PCA11,BAJA,I,20,0.000,0.000,0.000
PCA12,MEDIA,I,1,12.626,30.807,25.440
PCA12,MEDIA,I,2,26.497,117.074,126.980
PCA12,MEDIA,I,3,4.612,34.737,24.990
PCA12,MEDIA,I,4,0.000,6.118,8.700
PCA12,MEDIA,I,5,4.805,32.376,28.900
PCA12,MEDIA,I,6,7.956,24.955,28.610
PCA12,MEDIA,I,7,1.644,77.995,69.530
PCA12,MEDIA,I,8,0.000,86.086,84.036
PCA12,MEDIA,I,9,5.053,20.621,25.154
PCA12,MEDIA,I,10,46.237,0.000,0.000
PCA12,MEDIA,I,11,0.000,0.000,0.000
PCA12,MEDIA,I,12,0.000,0.000,0.000
PCA12,MEDIA,I,13,0.000,0.000,0.000
PCA12,MEDIA,I,14,0.000,0.000,0.000
PCA12,MEDIA,I,15,0.000,0.000,0.000
PCA12,MEDIA,I,16,0.000,0.000,0.000
PCA12,MEDIA,I,17,0.000,0.000,0.000
PCA12,MEDIA,I,18,0.000,0.000,0.000
PCA12,MEDIA,I,19,0.000,0.000,0.000
PCA12,MEDIA,I,20,0.000,0.000,0.000
PCA13,MEDIA,I,1,73.060,68.888,70.840
PCA13,MEDIA,I,2,71.520,69.225,70.850
PCA13,MEDIA,I,3,45.445,43.028,48.420
PCA13,MEDIA,I,4,52.831,43.028,48.197
PCA13,MEDIA,I,5,23.120,50.010,50.074
PCA13,MEDIA,I,6,57.600,62.420,62.677
PCA13,MEDIA,I,7,25.600,58.672,57.748
PCA13,MEDIA,I,8,13.860,17.490,20.448
PCA13,MEDIA,I,9,17.790,18.926,21.505
PCA13,MEDIA,I,10,12.820,15.628,16.292
PCA13,MEDIA,I,11,42.240,48.117,46.671
PCA13,MEDIA,I,12,55.230,55.754,62.204
PCA13,MEDIA,I,13,0.000,0.000,0.000
PCA13,MEDIA,I,14,0.000,0.000,0.000
PCA13,MEDIA,I,15,0.000,0.000,0.000
